RISING SUN ROCK FESTIVAL2019 ,Braver,ストレイテナー
RISING SUN ROCK FESTIVAL2019 ,Melodic Storm,ストレイテナー
RISING SUN ROCK FESTIVAL2019 ,Mighty Clash,SHANK
RISING SUN ROCK FESTIVAL2019 ,First Light Anthem,SHANK
RISING SUN ROCK FESTIVAL2019 ,オメでたい頭でなにより,オメでたい頭でなにより
RISING SUN ROCK FESTIVAL2019 ,ザ・レジスタンス,オメでたい頭でなにより
RISING SUN ROCK FESTIVAL2019 ,金色グラフティー,ROTTENGRAFFTY
RISING SUN ROCK FESTIVAL2019 ,「70cm四方の窓辺」,ROTTENGRAFFTY
RISING SUN ROCK FESTIVAL2019 ,Exchange Blues,DMBQ
RISING SUN ROCK FESTIVAL2019 ,Shoot me,DMBQ
RISING SUN ROCK FESTIVAL2019 ,DOCUMENT,TENDRE
RISING SUN ROCK FESTIVAL2019 ,DRAMA,TENDRE
RISING SUN ROCK FESTIVAL2019 ,Walk On The Way,フジファブリック
RISING SUN ROCK FESTIVAL2019 ,若者のすべて,フジファブリック
RISING SUN ROCK FESTIVAL2019 ,五月雨,崎山蒼志
RISING SUN ROCK FESTIVAL2019 ,泡みたく輝いて,崎山蒼志
RISING SUN ROCK FESTIVAL2019 ,Parks,Homecomings
RISING SUN ROCK FESTIVAL2019 ,I WANT YOU BACK,Homecomings
RISING SUN ROCK FESTIVAL2019 ,Silver Shoes,Rei
RISING SUN ROCK FESTIVAL2019 ,LAZY LOSER,Rei
RISING SUN ROCK FESTIVAL2019 ,絶対彼氏以上,AsuraSyndrome
RISING SUN ROCK FESTIVAL2019 ,男が女を唄うとき,AsuraSyndrome
RISING SUN ROCK FESTIVAL2019 ,T字路sのテーマ,T字路s
RISING SUN ROCK FESTIVAL2019 ,暮らしのなかで,T字路s
RISING SUN ROCK FESTIVAL2019 ,チョコレイト・ディスコ,DEPAPEKO (押尾コータロー×DEPAPEPE）
RISING SUN ROCK FESTIVAL2019 ,恋するフォーチュンクッキー,DEPAPEKO (押尾コータロー×DEPAPEPE）
RISING SUN ROCK FESTIVAL2019 ,朝焼けの歌,OVERGROUND ACOUSTIC UNDERGROUND
RISING SUN ROCK FESTIVAL2019 ,MIDNIGHT SUN,OVERGROUND ACOUSTIC UNDERGROUND
RISING SUN ROCK FESTIVAL2019 ,tomorrow,MOROHA
RISING SUN ROCK FESTIVAL2019 ,三文銭,MOROHA
